host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,bedrooms_na,bathrooms_na,beds_na,review_scores_rating_na,review_scores_accuracy_na,review_scores_cleanliness_na,review_scores_checkin_na,review_scores_communication_na,review_scores_location_na,review_scores_value_na,index
f,moderate,f,1.0,Diamond Heights,37.74608,-122.4444,House,Private room,2.0,1.0,1.0,1.0,Real Bed,2.0,19.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
f,strict_14_with_grace_period,t,165.0,South of Market,37.77491,-122.39067,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,177.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20
t,moderate,f,2.0,Potrero Hill,37.76196,-122.39411,Guest suite,Entire home/apt,2.0,1.0,1.0,0.0,Real Bed,4.0,111.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
f,strict_14_with_grace_period,t,165.0,South of Market,37.77372,-122.39151,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,177.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22
f,flexible,f,44.0,Bernal Heights,37.73767,-122.41144,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,4.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
f,flexible,t,1.0,Mission,37.76037,-122.40841,Loft,Entire home/apt,4.0,2.0,1.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,145.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24
f,strict_14_with_grace_period,f,1.0,Inner Sunset,37.76463,-122.47456,House,Entire home/apt,7.0,2.0,3.0,4.0,Real Bed,6.0,8.0,95.0,9.0,9.0,9.0,10.0,10.0,10.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
f,strict_14_with_grace_period,f,3.0,Seacliff,37.77984,-122.50548,House,Private room,2.0,1.0,1.0,1.0,Real Bed,3.0,72.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
t,strict_14_with_grace_period,f,7.0,Russian Hill,37.79939,-122.4091,Apartment,Private room,6.0,1.0,3.0,3.0,Real Bed,2.0,4.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
t,strict_14_with_grace_period,t,2.0,Outer Sunset,37.75574,-122.47759,House,Private room,2.0,2.0,1.0,1.0,Real Bed,2.0,83.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
f,strict_14_with_grace_period,t,165.0,South of Market,37.77224,-122.39119,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,160.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29
f,moderate,t,1.0,Western Addition,37.7723,-122.42542,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,Real Bed,30.0,17.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
f,strict_14_with_grace_period,t,2.0,Bayview,37.72913,-122.38385,Guest suite,Entire home/apt,4.0,1.0,0.0,2.0,Real Bed,2.0,39.0,85.0,9.0,8.0,10.0,10.0,8.0,9.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
f,strict_14_with_grace_period,f,10.0,Haight Ashbury,37.77019,-122.44594,Apartment,Private room,2.0,4.0,1.0,2.0,Real Bed,32.0,6.0,80.0,9.0,8.0,9.0,10.0,9.0,7.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
t,strict_14_with_grace_period,f,1.0,Noe Valley,37.75548,-122.42941,House,Entire home/apt,4.0,2.0,3.0,3.0,Real Bed,7.0,44.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
f,flexible,f,1.0,Inner Richmond,37.7787,-122.4554,House,Entire home/apt,4.0,2.0,2.0,2.0,Real Bed,3.0,6.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
t,strict_14_with_grace_period,f,89.0,Downtown/Civic Center,37.78873,-122.41066,Hotel,Private room,4.0,1.0,0.0,2.0,Real Bed,1.0,23.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
f,flexible,f,87.0,Mission,37.76617,-122.41748,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,86.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36
f,strict_14_with_grace_period,f,44.0,Mission,37.75516,-122.42302,Apartment,Entire home/apt,4.0,1.5,3.0,4.0,Real Bed,30.0,2.0,90.0,10.0,7.0,10.0,9.0,10.0,7.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
